"Coupe";"rdtFetasso";"rdtLuzasso";"rdtLuzpur";"rdtFetpur";"rdtassotot";"propLuz";"propLuzAn_1";"theoyldmix";"OY";"TOY";"RYl";"RYg";"RYTbis";"RYT";"RYtheol";"RYtheog";"deltaRYl";"deltaRYg";"CE";"SE"
1;267.985472463041;179.474363472854;516.486056974445;326.708691071429;447.459835935895;0.401096029317291;0.5;421.597374022937;25.8624619129581;-69.02622103855;0.347491207263576;0.820258168168691;0.630633217357247;1.16774937543227;1;1;-0.152508792736424;0.320258168168691;70.7226961762316;-89.720468526547
2;317.262280845872;809.333320518131;1411.52744676568;368.881093567251;1126.595601364;0.718388496758062;0.401096029317291;787.082405817297;339.513195546706;-284.931845401682;0.573374129119915;0.860066526527012;0.654110006121762;1.43344065564693;1;1;0.172278099802623;0.261162555844303;385.850722520648;-92.6750539478835
3;525.357397358459;949.302344033368;1419.14659448752;453.308640350877;1474.65974139183;0.643743310668662;0.718388496758062;1147.15551633498;327.504225056845;55.5131469043079;0.66892479446507;1.15893973905243;0.843495896346643;1.8278645335175;1;1;-0.0494637022929925;0.877328235810496;775.069639760948;-895.130829408206
4;436.383710142299;630.719760831804;936.636666666667;248.39;1067.1034709741;0.591057735250409;0.643743310668662;691.444187756671;375.659283217432;130.466804307437;0.673387860285707;1.75684894779298;1.11646089117899;2.43023680807869;1;1;0.0296445496170452;1.40059225846165;847.434378610732;-943.5501907866
5;477.281487440399;629.179367869256;871.81;206.683333333333;1106.46085530966;0.568641325944761;0.591057735250409;599.811594587987;506.649260721668;234.650855309655;0.721693221997059;2.30924032307265;1.40649543451727;3.03093354506971;1;1;0.13063548674665;1.90029805832306;1095.17414440036;-1177.04976735738
6;465.418231251289;115.442700230748;425.462666666667;175.211666666667;580.860931482037;0.198744129573668;0.568641325944761;317.514727125669;263.346204356368;155.39826481537;0.271334500710006;2.65631986788145;2.18231802703703;2.92765436859146;1;1;-0.297306825234755;2.22496119382621;578.946251375381;-631.200094038026
